Symbol,Series,Name,Band,Remarks
REMUS,SM,Remus Pharmaceuticals Limited,10,"-"
SMVD,SM,SMVD Poly Pack Limited,10,"-"
SWASTIK,SM,Swastik Pipe Limited,10,"-"
VIVIANA,SM,Viviana Power Tech Limited,10,"-"
ABCOTS,SM,A B Cotspin India Limited,20,"-"
ABNINT,IT,A B N Intercorp Limited,20,"-"
AGARWALFT,SM,Agarwal Float Glass India Limited,20,"-"
AGUL,SM,A G Universal Limited,20,"-"
ALLETEC,SM,All E Technologies Limited,20,"-"
AMEYA,SM,Ameya Precision Engineers Limited,20,"-"
AMIABLE,SM,Amiable Logistics (India) Limited,20,"-"
ANLON,SM,Anlon Technology Solutions Limited,20,"-"
ANNAPURNA,SM,Annapurna Swadisht Limited,20,"-"
ARIHANTACA,SM,Arihant Academy Limited,20,"-"
ARISTO,SM,Aristo Bio Tech And Lifescience Limited,20,"-"
AUROIMPEX,SM,Auro Impex & Chemicals Limited,20,"-"
BAHETI,SM,Baheti Recycling Industries Limited,20,"-"
BETA,SM,Beta Drugs Limited,20,"-"
BEWLTD,SM,BEW Engineering Limited,20,"-"
BHALCHANDR,IT,Bhalchandram Clothing Limited,20,"-"
CMNL,SM,Chaman Metallics Limited,20,"-"
DENEERS,SM,De Neers Tools Limited,20,"-"
DENTALKART,SM,Vasa Denticity Limited,20,"-"
DKEGL,SM,D.K. Enterprises Global Limited,20,"-"
DOLLEX,SM,Dollex Agrotech Limited,20,"-"
DUCOL,SM,Ducol Organics And Colours Limited,20,"-"
EUROBOND,SM,Euro Panel Products Limited,20,"-"
FIDEL,SM,Fidel Softech Limited,20,"-"
FROG,SM,Frog Cellsat Limited,20,"-"
INFOLLION,SM,INFOLLION RESEARCH SERVICES LIMITED,20,"-"
IPSL,SM,Integrated Personnel Services Limited,20,"-"
JFLLIFE,SM,Jfl Life Sciences Limited,20,"-"
JSLL,SM,Jeena Sikho Lifecare Limited,20,"-"
KANDARP,SM,Kandarp Digi Smart Bpo Limited,20,"-"
KCK,SM,Kck Industries Limited,20,"-"
KNAGRI,SM,Kn Agri Resources Limited,20,"-"
KORE,SM,Jay Jalaram Technologies Limited,20,"-"
KOTYARK,SM,Kotyark Industries Limited,20,"-"
KRISHCA,SM,Krishca Strapping Solutions Limited,20,"-"
KRISHNADEF,SM,Krishna Defence And Allied Industries Limited,20,"-"
LEMERITE,SM,Le Merite Exports Limited,20,"-"
MAHICKRA,SM,Mahickra Chemicals Limited,20,"-"
MHHL,SM,Mohini Health & Hygiene Limited,20,"-"
MOS,SM,Mos Utility Limited,20,"-"
MOXSH,SM,Moxsh Overseas Educon Limited,20,"-"
MWL,SM,Mangalam Worldwide Limited,20,"-"
NIDAN,SM,Nidan Laboratories And Healthcare Limited,20,"-"
PASHUPATI,SM,Pashupati Cotspin Limited,20,"-"
PATTECH,SM,Pattech Fitwell Tube Components Limited,20,"-"
PRECISION,SM,Precision Metaliks Limited,20,"-"
PRITIKA,SM,Pritika Engineering Components Limited,20,"-"
PROPEQUITY,SM,P. E. Analytics Limited,20,"-"
PROV,SM,Proventus Agrocom Limited,20,"-"
QFIL,SM,Quality Foils (India) Limited,20,"-"
QMSMEDI,SM,Qms Medical Allied Services Limited,20,"-"
QUADPRO,SM,Quadpro Ites Limited,20,"-"
RITEZONE,SM,Rite Zone Chemcon India Limited,20,"-"
SABAR,SM,Sabar Flex India Limited,20,"-"
SAHANA,SM,Sahana System Limited,20,"-"
SHAIVAL,SM,Shaival Reality Limited,20,"-"
SHERA,SM,Shera Energy Limited,20,"-"
SHIGAN,SM,Shigan Quantum Technologies Limited,20,"-"
SHIVAUM,SM,Shiv Aum Steels Limited,20,"-"
SKP,SM,Skp Bearing Industries Limited,20,"-"
SONUINFRA,SM,Sonu Infratech Limited,20,"-"
SOTAC,SM,Sotac Pharmaceuticals Limited,20,"-"
SPECTSTM,SM,Spectrum Talent Management Limited,20,"-"
SPRL,SM,Sp Refractories Limited,20,"-"
TARACHAND,SM,Tara Chand InfraLogistic Solutions Limited,20,"-"
THEJO,SM,Thejo Engineering Limited,20,"-"
UCL,SM,Ushanti Colour Chem Limited,20,"-"
UMA,SM,Uma Converter Limited,20,"-"
URBAN,SM,Urban Enviro Waste Management Limited,20,"-"
VEEKAYEM,SM,Veekayem Fashion And Apparels Limited,20,"-"
VELS,SM,Vels Film International Limited,20,"-"
VERTEXPLUS,SM,Vertexplus Technologies Limited,20,"-"
VIAZ,SM,Viaz Tyres Limited,20,"-"
VITAL,SM,Vital Chemtech Limited,20,"-"
